Site,HL_GHSL,HL_Glob3D,HL_obs
AU-Preston,0.4763019200338046,0.3468417978592107,0.3775992
AU-SurreyHills,0.4762409753982626,0.3038528907733678,0.35082036
CA-Sunset,0.4505185052533049,0.46887753765733337,0.2588733
FR-Capitole,0.24250163048830323,0.336581931788982,0.26019105
GR-HECKOR,0.885746346306677,1.189002263584802,0.69184667
KR-Jungnang,1.645076112464584,1.4094552877753475,0.6187296
MX-Escandon,0.785023265644141,0.8351406637617154,0.4418801
NL-Amsterdam,1.4016939067174383,1.0890779415093308,0.90639275
PL-Lipowa,0.37598677846366946,0.5743374355985111,0.33779588
PL-Narutowicza,0.501547307075833,0.6396391034057396,0.6100399
SG-TelokKurau06,1.2571481140006622,1.2022499848318415,0.9105168
UK-KingsCollege,0.33745614885792957,0.5561802639414724,0.51299906
UK-Swindon,0.49308395989032455,1.5883329302138758,0.37976804
US-Baltimore,0.3689646079464799,0.5546871092398936,0.257255
US-WestPhoenix,0.35444189612511745,0.4454512463845408,0.28444856
