site,obs_fraction,obs_height,li_built_height,li_built_fraction,ghsl_height,ghsl_fraction,globucp_height,globucp_fraction,glamour_height,glamour_fraction,ud_lut_fraction,ud_lut_height,lcz_lut_fraction,lcz_lut_height
AU-Preston,0.4449999928474426,6.400000095367432,4.93442714384,0.313525522468,7.482105255126953,0.38224801421165466,14.123000000000001,0.2589,8.276838302612305,0.24648377299308777,0.550000011920929,15.0,0.3,5.0
AU-SurreyHills,0.38999998569488525,7.199999809265137,5.16911953575,0.267963486179,8.753355026245117,0.3117839992046356,12.3789,0.215,8.251980781555176,0.2270837426185608,0.550000011920929,15.0,0.3,5.0
CA-Sunset,0.23000000417232513,4.900000095367432,7.87955178891,0.181298556087,9.757637023925781,0.301144003868103,6.7557,0.19260000000000002,6.891982555389404,0.16981658339500427,0.5,40.0,0.3,5.0
FI-Kumpula,0.14000000059604645,12.600000381469727,9.29438050898,0.0886472592189,4.997860431671143,0.13537272810935974,11.5176,0.19240000000000002,15.930256843566895,0.34070053696632385,0.3499999940395355,15.0,0.3,15.0
FI-Torni,0.3700000047683716,17.899999618530273,17.4576971654,0.269813670423,19.687530517578125,0.39052799344062805,16.9859,0.34800000000000003,41.352352142333984,0.46366792917251587,0.6000000238418579,40.0,0.5,45.0
FR-Capitole,0.6200000047683716,15.0,16.3536277415,0.440393148327,12.334721565246582,0.48263999819755554,11.4755,0.1715,10.710323333740234,0.385287880897522,0.550000011920929,45.0,0.5,15.0
GR-HECKOR,0.5163999795913696,11.300000190734863,10.8208106169,0.160325754323,13.079913139343262,0.4221239984035492,9.3138,0.3846,12.467052459716797,0.3762628734111786,0.4000000059604645,15.0,0.55,5.0
JP-Yoyogi,0.4099999964237213,9.0,16.1080415648,0.254222486854,17.0726261138916,0.41330400109291077,9.3612,0.23370000000000002,14.38181209564209,0.360538125038147,0.699999988079071,45.0,0.5,15.0
KR-Jungnang,0.5879999995231628,8.64799976348877,13.3196926363,0.268802642209,20.807384490966797,0.4815160036087036,8.6991,0.21780000000000002,13.089766502380371,0.3606604039669037,0.699999988079071,45.0,0.5,15.0
KR-Ochang,0.13300000131130219,7.383999824523926,7.79860602609,0.252247025289,11.6981201171875,0.24558696150779724,15.629900000000001,0.1131,13.337488174438477,0.20824891328811646,0.4000000059604645,17.0,0.4,7.0
MX-Escandon,0.5699999928474426,9.6899995803833,13.4433760141,0.307138090147,13.921724319458008,0.37278398871421814,11.0297,0.5108,8.012937545776367,0.18335291743278503,0.699999988079071,40.0,0.55,5.0
NL-Amsterdam,0.4399999976158142,14.199999809265137,14.5405691885,0.319560986662,18.310245513916016,0.3059079945087433,18.7115,0.379,17.60368537902832,0.3386518657207489,0.550000011920929,45.0,0.5,15.0
PL-Lipowa,0.3499999940395355,10.199999809265137,14.9610225642,0.260474206566,12.247514724731445,0.4073120057582855,22.4237,0.2529,10.658541679382324,0.2730185091495514,0.5,17.0,0.3,15.0
PL-Narutowicza,0.28999999165534973,16.0,15.0838164791,0.234437410301,13.674481391906738,0.3127959966659546,14.688400000000001,0.1968,11.337174415588379,0.20460745692253113,0.5,17.0,0.3,15.0
SG-TelokKurau06,0.38999998569488525,9.899999618530273,10.6818180384,0.260417948748,14.292156219482422,0.42637598514556885,17.2989,1.2504,13.15757942199707,0.36573201417922974,0.6000000238418579,30.0,0.55,5.0
UK-KingsCollege,0.4000000059604645,21.299999237060547,18.0391205967,0.244080749951,11.526329040527344,0.27069565653800964,18.8941,0.1585,28.73131561279297,0.4664421081542969,0.6000000238418579,40.0,0.5,15.0
UK-Swindon,0.1599999964237213,4.5,7.98725913107,0.028816699276,8.04934310913086,0.302947998046875,7.646400000000001,0.2733,8.34062671661377,0.1530310958623886,0.3499999940395355,15.0,0.3,5.0
US-Baltimore,0.1599999964237213,5.599999904632568,8.22609352531,0.0742613348935,8.02043628692627,0.13978399336338043,14.0973,0.0941,4.713886737823486,0.12195120751857758,0.44999998807907104,17.0,0.3,5.0
US-Minneapolis1,0.11999999731779099,5.050000190734863,7.64278627141,0.030274629047,3.730238914489746,0.13349230587482452,11.2225,0.0514,5.705822467803955,0.126072496175766,0.3499999940395355,12.0,0.3,5.0
US-Minneapolis2,0.009999999776482582,5.050000190734863,7.64278627141,0.030274629047,3.730238914489746,0.13349230587482452,11.2225,0.0514,5.705822467803955,0.126072496175766,0.3499999940395355,12.0,0.3,5.0
US-WestPhoenix,0.25999999046325684,4.5,6.52883795265,0.223165562013,7.013489723205566,0.4067560136318207,12.5761,0.21610000000000001,5.244313716888428,0.20701785385608673,0.6000000238418579,40.0,0.3,5.0
