site,Station,Class,Lat,Lon,LatFmt,LonFmt,Datasets,Year,Compare_HL
AU-Preston,AU-Preston,Cfb,-37.7306,145.0145,-37.7306,145.0145,Plumber2,2005,1
AU-SurreyHills,AU-SurreyHills,Cfb,-37.8265,145.099,-37.8265,145.099,Plumber2,2005,1
CA-Sunset,CA-Sunset,Csb,49.2261,-123.078,49.2261,-123.078,Plumber2,2015,1
FI-Kumpula,FI-Kumpula,Dfb,60.2028,24.9611,60.2028,24.9611,Plumber2,2015,0
FI-Torni,FI-Torni,Dfb,60.1678,24.9387,60.1678,24.9387,Plumber2,2015,0
FR-Capitole,FR-Capitole,Cfa,43.6035,1.4454,43.6035,1.4454,Plumber2,2005,1
GR-HECKOR,GR-HECKOR,Csa,35.3361,25.1328,35.3361,25.1328,Plumber2,2020,1
JP-Yoyogi,JP-Yoyogi,Cwb,35.6645,139.685,35.6645,139.685,Plumber2,2020,0
KR-Jungnang,KR-Jungnang,Dwa,37.5907,127.0794,37.5907,127.0794,Plumber2,2020,1
KR-Ochang,KR-Ochang,Dwa,36.7197,127.4344,36.7197,127.4344,Plumber2,2015,1
MX-Escandon,MX-Escandon,Cwb,19.4042,-99.1761,19.4042,-99.1761,Plumber2,2010,1
NL-Amsterdam,NL-Amsterdam,Cfb,52.3665,4.8929,52.3665,4.8929,Plumber2,2020,1
PL-Lipowa,PL-Lipowa,Dfb,51.7625,19.4453,51.7625,19.4453,Plumber2,2010,1
PL-Narutowicza,PL-Narutowicza,Dfb,51.7733,19.4811,51.7733,19.4811,Plumber2,2010,1
SG-TelokKurau06,SG-TelokKurau06,Af,1.3143,103.9112,1.3143,103.9112,Plumber2,2010,1
UK-KingsCollege,UK-KingsCollege,Cfb,51.5118,-0.1167,51.5118,-0.1167,Plumber2,2015,1
UK-Swindon,UK-Swindon,Cfb,51.5846,-1.7981,51.5846,-1.7981,Plumber2,2015,1
US-Baltimore,US-Baltimore,Cfa,39.4128,-76.5215,39.4128,-76.5215,Plumber2,2005,1
US-Minneapolis1,US-Minneapolis1,Dfa,44.9984,-93.1884,44.9984,-93.1884,Plumber2,2010,0
US-Minneapolis2,US-Minneapolis2,Dfa,44.9984,-93.1884,44.9984,-93.1884,Plumber2,2010,0
US-WestPhoenix,US-WestPhoenix,BWh,33.4839,-112.143,33.4839,-112.143,Plumber2,2015,1
