,time,LWdown_obs,SWdown_obs,LWup_obs,SWup_obs,Qh_obs,Qle_obs,Qtau_obs,Rn_obs,LWup_def,SWup_def,Qh_def,Qle_def,Qtau_def,Rn_def,LWup_wrflcz,SWup_wrflcz,Qh_wrflcz,Qle_wrflcz,Qtau_wrflcz,Rn_wrflcz,LWup_lilcz,SWup_lilcz,Qh_lilcz,Qle_lilcz,Qtau_lilcz,Rn_lilcz,LWup_cesmlcz,SWup_cesmlcz,Qh_cesmlcz,Qle_cesmlcz,Qtau_cesmlcz,Rn_cesmlcz,hour,minute,diurnal
0,2003-08-12 03:30:00,,,,,124.52,52.17,1.019,,,,148.39737,50.60624,0.45881745,,,,92.35684,73.31564,0.4411004,,,,100.8114,66.45572,0.44258714,,,,111.7742,53.02316,0.44684055,,13,30,13:30
1,2003-08-12 04:00:00,,,,,96.93,76.41,0.797,,,,145.01929,49.603596,0.52430654,,,,98.7401,52.864178,0.5045132,,,,103.74521,52.17239,0.50652355,,,,113.66413,48.749416,0.51199275,,14,0,14:00
2,2003-08-12 04:30:00,,,,,127.5,-4.47,1.159,,,,129.80603,49.1478,0.45503557,,,,89.79689,47.85974,0.4384364,,,,93.57553,48.002872,0.44021657,,,,101.22839,48.172302,0.44435653,,14,30,14:30
3,2003-08-12 05:00:00,,,,,71.72,68.63,1.094,,,,128.64369,46.716125,0.49233037,,,,92.24324,45.62201,0.4777069,,,,95.46135,45.75731,0.4792234,,,,102.99806,45.80608,0.48242393,,15,0,15:00
4,2003-08-12 05:30:00,,,,,50.45,73.34,1.022,,,,106.841576,42.349403,0.46495447,,,,77.535736,41.54638,0.4522179,,,,79.71134,41.647396,0.45346352,,,,86.59329,41.613228,0.4562387,,15,30,15:30
5,2003-08-12 06:00:00,,,,,48.16,83.11,1.006,,,,81.520195,35.939915,0.42385045,,,,58.867264,35.453655,0.41277662,,,,60.291298,35.513214,0.41372687,,,,66.546104,35.42257,0.41635007,,16,0,16:00
6,2003-08-12 06:30:00,,,,,21.8,76.03,0.91,,,,50.958466,28.010216,0.32307136,,,,35.238293,27.760353,0.31423956,,,,35.846577,27.78379,0.31489345,,,,41.37528,27.665277,0.31728676,,16,30,16:30
7,2003-08-12 07:00:00,,,,,0.25,32.09,0.44,,,,22.416615,19.39288,0.22882691,,,,13.087787,19.33976,0.22201344,,,,13.039886,19.331388,0.22238134,,,,17.876432,19.21739,0.22464463,,17,0,17:00
8,2003-08-12 07:30:00,,,,,-3.54,7.18,0.411,,,,6.3566737,13.452544,0.14775823,,,,1.288425,13.58507,0.14270374,,,,1.1205343,13.5521965,0.14280245,,,,5.281514,13.466723,0.14510153,,17,30,17:30
9,2003-08-12 08:00:00,,,,,-13.94,13.56,0.243,,,,-7.2757516,7.4680448,0.094562545,,,,-8.377016,7.731167,0.0907731,,,,-8.84339,7.6891646,0.090730704,,,,-5.278414,7.6324124,0.09324056,,18,0,18:00
10,2003-08-12 08:30:00,,,,,-18.6,38.19,0.32,,,,-7.7386603,5.683474,0.0765949,,,,-7.7479305,6.111479,0.07425498,,,,-8.055835,6.0499253,0.073943906,,,,-4.8287463,6.0183454,0.07700992,,18,30,18:30
11,2003-08-12 09:00:00,,,,,,,0.305,,,,,,0.08421662,,,,,,0.0830884,,,,,,0.08270823,,,,,,0.08621676,,19,0,19:00
12,2003-08-12 09:30:00,,,,,,,0.218,,,,,,0.05746906,,,,,,0.057454903,,,,,,0.055694643,,,,,,0.061029285,,19,30,19:30
13,2003-08-12 10:00:00,,,,,-19.98,5.49,0.135,,,,-3.0566385,0.53715134,0.085937336,,,,-2.508998,1.3138988,0.08633268,,,,-2.7192721,1.2484435,0.08599634,,,,0.33499825,1.1490171,0.089525945,,20,0,20:00
14,2003-08-12 10:30:00,,,,,-7.94,10.23,0.018,,,,-4.474739,2.3209684e-14,0.009784071,,,,-3.1261544,-1.1605929e-14,0.010056539,,,,-3.3320117,0.0,0.0098975515,,,,-1.3382227,0.0,0.011540953,,20,30,20:30
15,2003-08-12 11:00:00,,,,,6.13,-23.69,0.033,,,,-8.883052,2.5130477e-14,0.008221883,,,,-7.513739,2.5130477e-14,0.008221883,,,,-7.6793017,2.5130477e-14,0.008221883,,,,-6.4697533,2.5130477e-14,0.008221883,,21,0,21:00
16,2003-08-12 11:30:00,,,,,-2.04,-0.12,0.009,,,,-8.026697,0.0,0.011145883,,,,-7.2642293,0.2570961,0.011145883,,,,-7.377927,0.20839643,0.011145883,,,,-6.1580353,0.2057973,0.011145883,,21,30,21:30
17,2003-08-12 12:00:00,,,,,,,0.024,,,,,,0.0060041053,,,,,,0.0060041053,,,,,,0.0060041053,,,,,,0.0060041053,,22,0,22:00
18,2003-08-12 12:30:00,,,,,,,0.226,,,,,,0.0017386609,,,,,,0.0017386609,,,,,,0.0017386609,,,,,,0.0017386609,,22,30,22:30
19,2003-08-12 13:00:00,,,,,,,0.3,,,,,,0.0025681516,,,,,,0.0025681516,,,,,,0.0025681516,,,,,,0.0025681516,,23,0,23:00
20,2003-08-12 13:30:00,,,,,,,0.138,,,,,,0.06821486,,,,,,0.07298013,,,,,,0.07219444,,,,,,0.07645506,,23,30,23:30
21,2003-08-12 14:00:00,,,,,,,0.264,,,,,,0.032641355,,,,,,0.03401535,,,,,,0.033584986,,,,,,0.03554397,,0,0,00:00
22,2003-08-12 14:30:00,,,,,,,0.429,,,,,,0.011957802,,,,,,0.0124701755,,,,,,0.012266986,,,,,,0.013279828,,0,30,00:30
23,2003-08-12 15:00:00,,,,,,,0.227,,,,,,0.03016747,,,,,,0.030609986,,,,,,0.030361379,,,,,,0.0318128,,1,0,01:00
24,2003-08-12 15:30:00,,,,,,,0.29,,,,,,0.05198248,,,,,,0.052124627,,,,,,0.05185277,,,,,,0.05359031,,1,30,01:30
25,2003-08-12 16:00:00,,,,,,,0.437,,,,,,0.11716608,,,,,,0.117013186,,,,,,0.116604134,,,,,,0.11925071,,2,0,02:00
26,2003-08-12 16:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30,02:30
27,2003-08-12 17:00:00,,,,,,,0.015,,,,,,0.01196379,,,,,,0.011461245,,,,,,0.011190148,,,,,,0.012835308,,3,0,03:00
28,2003-08-12 17:30:00,,,,,,,0.02,,,,,,0.0033650815,,,,,,0.0031677857,,,,,,0.003044608,,,,,,0.003749488,,3,30,03:30
29,2003-08-12 18:00:00,,,,,,,0.867,,,,,,0.023845706,,,,,,0.023251345,,,,,,0.022934351,,,,,,0.024969429,,4,0,04:00
30,2003-08-12 18:30:00,,,,,,,0.373,,,,,,0.010301802,,,,,,0.009830087,,,,,,0.009610742,,,,,,0.010926693,,4,30,04:30
31,2003-08-12 19:00:00,,,,,,,0.029,,,,,,0.0019408285,,,,,,0.001810468,,,,,,0.0017747642,,,,,,0.0020354951,,5,0,05:00
32,2003-08-12 19:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,05:30
33,2003-08-12 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,06:00
34,2003-08-12 20:30:00,,,,,,,0.008,,,,,,0.005421196,,,,,,0.005421196,,,,,,0.005421196,,,,,,0.005421196,,6,30,06:30
35,2003-08-12 21:00:00,,,,,,,0.055,,,,,,0.009744517,,,,,,0.009744517,,,,,,0.009744517,,,,,,0.009744517,,7,0,07:00
36,2003-08-12 21:30:00,,,,,,,0.137,,,,,,0.006567371,,,,,,0.006567371,,,,,,0.006567371,,,,,,0.006567371,,7,30,07:30
37,2003-08-12 22:00:00,,,,,,,0.019,,,,,,0.029445084,,,,,,0.023169558,,,,,,0.022558609,,,,,,0.029587004,,8,0,08:00
38,2003-08-12 22:30:00,,,,,,,0.027,,,,,,0.019926144,,,,,,0.012852195,,,,,,0.012626132,,,,,,0.019298393,,8,30,08:30
39,2003-08-12 23:00:00,,,,,,,0.026,,,,,,0.026096443,,,,,,0.026096443,,,,,,0.026096443,,,,,,0.026096443,,9,0,09:00
40,2003-08-12 23:30:00,,,,,,,0.027,,,,,,0.011421492,,,,,,0.011421492,,,,,,0.011421492,,,,,,0.011421492,,9,30,09:30
41,2003-08-13 00:00:00,,,,,20.46,214.45,0.084,,,,6.892671,14.853857,0.0150519665,,,,2.3839138,10.479946,0.0150519665,,,,2.7208068,11.080737,0.0150519665,,,,3.949819,11.758405,0.0150519665,,10,0,10:00
42,2003-08-13 00:30:00,,,,,25.52,-106.93,0.086,,,,13.10776,16.983458,0.005184312,,,,8.355238,11.870321,0.005184312,,,,8.794334,12.612519,0.005184312,,,,9.740933,13.150152,0.005184312,,10,30,10:30
43,2003-08-13 01:00:00,,,,,49.11,-8.99,0.136,,,,15.679281,31.297451,0.0084316395,,,,11.73752,12.86634,0.0020752735,,,,12.213634,13.636024,0.0020752735,,,,11.70007,20.7825,0.0054130084,,11,0,11:00
44,2003-08-13 01:30:00,,,,,34.3,65.94,0.039,,,,24.144184,47.436382,0.021214532,,,,14.929375,35.019276,0.017392857,,,,15.540952,36.881138,0.017942902,,,,17.665476,38.19345,0.018650021,,11,30,11:30
