,time,LWdown_obs,SWdown_obs,LWup_obs,SWup_obs,Qh_obs,Qle_obs,Qtau_obs,Rn_obs,LWup_def,SWup_def,Qh_def,Qle_def,Qtau_def,Rn_def,LWup_wrflcz,SWup_wrflcz,Qh_wrflcz,Qle_wrflcz,Qtau_wrflcz,Rn_wrflcz,LWup_lilcz,SWup_lilcz,Qh_lilcz,Qle_lilcz,Qtau_lilcz,Rn_lilcz,LWup_cesmlcz,SWup_cesmlcz,Qh_cesmlcz,Qle_cesmlcz,Qtau_cesmlcz,Rn_cesmlcz,hour,minute,diurnal
0,2010-12-31 22:30:00,296.0889,0.0,303.7889,,,,,,304.63318,,,,,,302.19696,,,,,,301.36874,,,,,,304.19327,,,,,,0,30,00:30
1,2010-12-31 23:00:00,293.8944,0.0,305.1778,,,,,,306.26477,,,,,,303.849,,,,,,303.04144,,,,,,305.6133,,,,,,1,0,01:00
2,2010-12-31 23:30:00,297.9056,0.0,306.4056,,,,,,307.83682,,,,,,305.22787,,,,,,304.42557,,,,,,307.00348,,,,,,1,30,01:30
3,2011-01-01 00:00:00,299.6111,0.0,306.3444,,,,,,307.86142,,,,,,305.5864,,,,,,304.69586,,,,,,307.11496,,,,,,2,0,02:00
4,2011-01-01 00:30:00,301.0,0.0,306.5833,,,,,,307.65823,,,,,,305.69235,,,,,,305.06345,,,,,,306.95853,,,,,,2,30,02:30
5,2011-01-01 01:00:00,291.6833,0.0,305.2778,,,,,,306.2991,,,,,,304.3885,,,,,,303.86945,,,,,,305.70056,,,,,,3,0,03:00
6,2011-01-01 01:30:00,287.0278,0.0,304.0889,,,,,,305.58594,,,,,,303.7032,,,,,,303.20642,,,,,,305.03812,,,,,,3,30,03:30
7,2011-01-01 02:00:00,299.3889,0.0,304.2222,,,,,,306.92963,,,,,,305.1835,,,,,,304.63428,,,,,,306.47006,,,,,,4,0,04:00
8,2011-01-01 02:30:00,301.2778,0.0,305.0333,,,,,,307.56042,,,,,,305.84033,,,,,,305.2595,,,,,,307.1389,,,,,,4,30,04:30
9,2011-01-01 03:00:00,300.5444,0.0,305.0222,,,,,,307.47192,,,,,,305.86823,,,,,,305.3281,,,,,,307.1044,,,,,,5,0,05:00
10,2011-01-01 03:30:00,300.8944,0.0,305.0556,,,,,,307.42044,,,,,,305.8809,,,,,,305.36093,,,,,,307.0982,,,,,,5,30,05:30
11,2011-01-01 04:00:00,301.0389,0.0,304.9778,,,,,,307.63684,,,,,,306.16382,,,,,,305.6538,,,,,,307.35925,,,,,,6,0,06:00
12,2011-01-01 04:30:00,301.2222,0.0,305.0278,,,,,,307.56552,,,,,,306.20166,,,,,,305.71033,,,,,,307.3582,,,,,,6,30,06:30
13,2011-01-01 05:00:00,300.6,0.0,304.3,,,,,,307.0027,,,,,,305.7269,,,,,,305.28094,,,,,,306.90323,,,,,,7,0,07:00
14,2011-01-01 05:30:00,299.3167,0.0,303.3833,,,,,,306.36453,,,,,,305.15842,,,,,,304.71368,,,,,,306.35507,,,,,,7,30,07:30
15,2011-01-01 06:00:00,298.0167,0.0,302.9,,,,,,305.635,,,,,,304.61353,,,,,,304.20764,,,,,,305.74985,,,,,,8,0,08:00
16,2011-01-01 06:30:00,296.6611,0.0,301.5833,,,,,,304.9502,,,,,,303.99207,,,,,,303.59457,,,,,,305.15793,,,,,,8,30,08:30
17,2011-01-01 07:00:00,296.9278,0.0,301.0444,0.0,,,,-4.1166077,304.48236,0.0,,,,-7.554560839843759,303.66483,0.0,,,,-6.737025439453134,303.27838,0.0,,,,-6.350581347656259,304.792,0.0,,,,-7.864192187500009,9,0,09:00
18,2011-01-01 07:30:00,297.5667,0.0,301.1444,0.0,,,,-3.5776978,304.81522,0.0,,,,-7.248516064453099,304.0106,0.0,,,,-6.443889599609349,303.585,0.0,,,,-6.018291455078099,305.126,0.0,,,,-7.559307080078099,9,30,09:30
19,2011-01-01 08:00:00,297.5667,0.0,301.55,0.0,,,,-3.9832764,304.69617,0.0,,,,-7.129466992187474,303.98978,0.0,,,,-6.423076611328099,303.57803,0.0,,,,-6.011333447265599,305.06146,0.0,,,,-7.494762402343724,10,0,10:00
20,2011-01-01 08:30:00,296.9556,5.0455,301.1611,0.0111,,,,0.82888794,304.46597,1.5725299,,,,-4.037402812385551,303.77994,1.5725299,,,,-3.351367656135551,303.3805,1.5725299,,,,-2.951923076057426,304.84396,1.5725299,,,,-4.415393535041801,10,30,10:30
