,time,LWdown_obs,SWdown_obs,LWup_obs,SWup_obs,Qh_obs,Qle_obs,Qtau_obs,Rn_obs,LWup_def,SWup_def,Qh_def,Qle_def,Qtau_def,Rn_def,LWup_wrflcz,SWup_wrflcz,Qh_wrflcz,Qle_wrflcz,Qtau_wrflcz,Rn_wrflcz,LWup_lilcz,SWup_lilcz,Qh_lilcz,Qle_lilcz,Qtau_lilcz,Rn_lilcz,LWup_cesmlcz,SWup_cesmlcz,Qh_cesmlcz,Qle_cesmlcz,Qtau_cesmlcz,Rn_cesmlcz,hour,minute,diurnal
0,2004-02-20 00:30:00,224.69566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,01:30
1,2004-02-20 01:00:00,223.27434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,02:00
2,2004-02-20 01:30:00,223.62167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30,02:30
3,2004-02-20 02:00:00,223.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,03:00
4,2004-02-20 02:30:00,224.90567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30,03:30
5,2004-02-20 03:00:00,222.67833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,04:00
6,2004-02-20 03:30:00,220.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,04:30
7,2004-02-20 04:00:00,220.50833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,05:00
8,2004-02-20 04:30:00,220.56267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,05:30
9,2004-02-20 05:00:00,262.99634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,06:00
10,2004-02-20 05:30:00,296.53568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,30,06:30
11,2004-02-20 06:00:00,296.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,07:00
12,2004-02-20 06:30:00,280.67465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,30,07:30
13,2004-02-20 07:00:00,240.53366,4.0256667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,08:00
14,2004-02-20 07:30:00,233.47067,45.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,30,08:30
15,2004-02-20 08:00:00,244.53433,84.96333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,09:00
16,2004-02-20 08:30:00,264.56134,205.67166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,09:30
17,2004-02-20 09:00:00,227.72867,273.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,10:00
18,2004-02-20 09:30:00,230.64366,339.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,30,10:30
19,2004-02-20 10:00:00,238.23833,411.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,11:00
20,2004-02-20 10:30:00,242.44533,474.84866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,30,11:30
21,2004-02-20 11:00:00,245.66766,523.6433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,12:00
22,2004-02-20 11:30:00,251.145,544.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,30,12:30
23,2004-02-20 12:00:00,249.24933,577.06665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,13:00
24,2004-02-20 12:30:00,259.37366,583.67834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,30,13:30
25,2004-02-20 13:00:00,253.644,542.90265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,14:00
26,2004-02-20 13:30:00,254.344,515.96234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,30,14:30
27,2004-02-20 14:00:00,255.532,497.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,15:00
28,2004-02-20 14:30:00,255.56033,449.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,30,15:30
29,2004-02-20 15:00:00,255.96733,394.22067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,16:00
30,2004-02-20 15:30:00,256.16266,323.52966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,30,16:30
31,2004-02-20 16:00:00,256.571,242.54066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,17:00
32,2004-02-20 16:30:00,259.40567,133.95334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,30,17:30
33,2004-02-20 17:00:00,277.83865,70.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,18:00
34,2004-02-20 17:30:00,293.82,13.528334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,30,18:30
