,time,LWdown_obs,SWdown_obs,LWup_obs,SWup_obs,Qh_obs,Qle_obs,Qtau_obs,Rn_obs,LWup_def,SWup_def,Qh_def,Qle_def,Qtau_def,Rn_def,LWup_wrflcz,SWup_wrflcz,Qh_wrflcz,Qle_wrflcz,Qtau_wrflcz,Rn_wrflcz,LWup_lilcz,SWup_lilcz,Qh_lilcz,Qle_lilcz,Qtau_lilcz,Rn_lilcz,LWup_cesmlcz,SWup_cesmlcz,Qh_cesmlcz,Qle_cesmlcz,Qtau_cesmlcz,Rn_cesmlcz,hour,minute,diurnal
0,2016-03-31 15:00:00,318.245,0.0,386.209,,,,,,382.88016,,,,,,388.65997,,,,,,389.5668,,,,,,389.57526,,,,,,0,0,00:00
1,2016-03-31 16:00:00,324.127,0.0,385.542,,,,,,383.30075,,,,,,389.10522,,,,,,389.94992,,,,,,389.96622,,,,,,1,0,01:00
2,2016-03-31 17:00:00,333.788,0.0,385.025,,,-5.61096,,,383.05066,,,-0.10933226,,,388.2355,,,0.5384096,,,389.09073,,,0.5834283,,,389.10168,,,0.59017444,,,2,0,02:00
3,2016-03-31 18:00:00,322.036,0.0,380.725,,,5.52995,,,377.91574,,,2.5709803,,,382.40024,,,2.477847,,,383.73715,,,2.523663,,,383.7479,,,2.5298984,,,3,0,03:00
4,2016-03-31 19:00:00,302.409,0.0,374.498,,1.18965,8.73194,,,371.6125,,23.321186,3.0313377,,,375.61377,,36.111935,3.000638,,,377.38705,,43.58469,3.0559886,,,377.39346,,43.627514,3.0620854,,,4,0,04:00
5,2016-03-31 20:00:00,298.267,0.0,369.315,,,,,,366.87625,,,,,,370.72388,,,,,,372.70795,,,,,,372.70963,,,,,,5,0,05:00
6,2016-03-31 21:00:00,299.385,8.33333,367.588,3.03205,-2.68112,6.44248,,-62.901703,367.67645,1.1271191,31.39062,3.329754,,-61.085241701049824,372.0696,1.1271191,44.643715,3.3134289,,-65.4783996600342,373.8089,1.1271191,53.78512,3.397802,,-67.21768799011232,373.8116,1.1271191,53.805172,3.403454,,-67.22040405456545,6,0,06:00
7,2016-03-31 22:00:00,302.041,122.222,372.584,19.9093,5.55185,6.5673,,31.769684,378.27637,16.616795,47.828243,6.8596935,,29.369838226318393,382.61838,16.616795,62.155415,6.7150416,,25.027827728271518,383.1004,16.616795,68.28469,6.816926,,24.545802581787143,383.1083,16.616795,68.31725,6.822485,,24.537898529052768,7,0,07:00
8,2016-03-31 23:00:00,316.974,263.889,382.422,29.868,27.6529,,,168.57306,396.88022,35.93429,68.2689,,,148.04848965454107,400.03192,35.93429,81.00639,,,144.8967867736817,399.00153,35.93429,81.98337,,,145.9271822814942,399.02005,35.93429,82.04553,,,145.90865811157232,8,0,08:00
9,2016-04-01 00:00:00,352.401,502.778,399.966,48.8903,66.9776,,,406.3227,433.17365,68.3702,120.62089,,,353.635153869629,433.23837,68.3702,130.48085,,,353.57042608642587,429.44275,68.3702,123.20186,,,357.36604986572274,429.48392,68.3702,123.33161,,,357.3248816528321,9,0,09:00
