,time,LWdown_obs,SWdown_obs,LWup_obs,SWup_obs,Qh_obs,Qle_obs,Qtau_obs,Rn_obs,LWup_def,SWup_def,Qh_def,Qle_def,Qtau_def,Rn_def,LWup_wrflcz,SWup_wrflcz,Qh_wrflcz,Qle_wrflcz,Qtau_wrflcz,Rn_wrflcz,LWup_lilcz,SWup_lilcz,Qh_lilcz,Qle_lilcz,Qtau_lilcz,Rn_lilcz,LWup_cesmlcz,SWup_cesmlcz,Qh_cesmlcz,Qle_cesmlcz,Qtau_cesmlcz,Rn_cesmlcz,hour,minute,diurnal
0,2017-01-24 16:00:00,210.63663,,286.04123,,81.45994,-23.210037,,,284.80222,,2.2123482,1.2394339,,,291.6149,,15.3672085,1.249748,,,292.43228,,18.078617,1.2589291,,,294.57486,,25.804274,0.21094246,,,1,0,01:00
1,2017-01-24 16:30:00,209.54552,,284.58435,,24.96527,2.657752,,,282.84863,,9.061307,1.2279873,,,289.59375,,23.218622,1.2316896,,,290.57465,,26.965181,1.2411695,,,292.65826,,35.192646,0.18207595,,,1,30,01:30
2,2017-01-24 17:00:00,208.2831,,283.02063,,22.965937,1.762168,,,281.78934,,12.1941,1.185562,,,288.461,,26.80109,1.1897936,,,289.5387,,30.931345,1.2000438,,,291.62976,,39.317005,0.15307842,,,2,0,02:00
3,2017-01-24 17:30:00,208.1524,,282.25995,,28.153719,4.5283513,,,281.1026,,10.097156,1.1723427,,,287.80865,,24.605757,1.1793108,,,288.90915,,28.847235,1.1906168,,,291.0014,,37.16029,0.16246104,,,2,30,02:30
4,2017-01-24 18:00:00,207.67542,,281.73788,,13.073188,0.97129244,,,280.3166,,8.614055,1.1228955,,,287.0257,,23.079937,1.1322374,,,288.16147,,27.47293,1.144328,,,290.23608,,35.70759,0.25836182,,,3,0,03:00
5,2017-01-24 18:30:00,207.0349,,280.84982,,53.19732,-1.4379206,,,279.47717,,8.441568,1.0774329,,,286.16232,,23.00502,1.0880663,,,287.34195,,27.605116,1.1006423,,,289.43457,,35.95125,0.0936901,,,3,30,03:30
6,2017-01-24 19:00:00,205.21503,,280.06488,,33.070095,4.1086664,,,278.28088,,10.852828,1.1166503,,,284.8645,,25.885658,1.1277177,,,286.1308,,30.889145,1.1411042,,,288.20746,,39.32544,0.11888294,,,4,0,04:00
7,2017-01-24 19:30:00,203.53677,,278.21695,,59.021736,2.7755966,,,277.19528,,12.6728115,1.0831002,,,283.71423,,27.813759,1.0929041,,,285.04343,,33.114845,1.1060529,,,287.1065,,41.646843,0.12875806,,,4,30,04:30
8,2017-01-24 20:00:00,203.49933,,277.71317,,96.83703,6.460212,,,276.5138,,11.002813,1.0769463,,,283.10077,,26.08151,1.0885184,,,284.42734,,31.430412,1.1025467,,,286.47775,,39.85597,0.26165125,,,5,0,05:00
9,2017-01-24 20:30:00,203.91011,,277.85666,,60.99604,9.223671,,,276.0757,,7.9811997,1.0435064,,,282.70148,,22.734028,1.0581801,,,284.00766,,28.011923,1.0731543,,,286.08704,,36.364044,0.10572463,,,5,30,05:30
10,2017-01-24 21:00:00,202.48988,,276.63623,,19.470177,-0.47140035,,,274.96124,,10.468516,1.022568,,,281.49768,,25.59415,1.0358438,,,282.8695,,31.221725,1.0506532,,,284.9084,,39.646854,0.217849,,,6,0,06:00
11,2017-01-24 21:30:00,202.06818,,276.0922,,39.441723,3.7230911,,,274.32126,,10.287836,1.0134883,,,280.84644,,25.40738,1.0275052,,,282.22394,,31.102592,1.0428753,,,284.28973,,39.56569,0.09154654,,,6,30,06:30
12,2017-01-24 22:00:00,201.4904,,275.21225,,30.886604,2.2618709,,,273.5958,,10.13375,1.0088807,,,280.0896,,25.236088,1.023508,,,281.4819,,31.035046,1.039408,,,283.52142,,39.41723,0.21563275,,,7,0,07:00
13,2017-01-24 22:30:00,201.06708,,274.71335,,8.197851,-7.7887845,,,272.94992,,11.070249,0.9782434,,,279.3998,,26.252176,0.9922318,,,280.7937,,32.17608,1.0082403,,,282.8465,,40.689583,0.074403316,,,7,30,07:30
14,2017-01-24 23:00:00,201.04404,,274.44083,,41.654125,-2.322486,,,272.4852,,10.989376,0.93691385,,,278.91492,,26.106283,0.9510078,,,280.29373,,32.044197,0.9674552,,,282.3243,,40.48875,0.15745899,,,8,0,08:00
15,2017-01-24 23:30:00,201.77406,36.59987,276.70297,,34.271587,-7.885547,,,274.61313,,14.08775,0.9603384,,,280.9024,,28.541636,0.97704047,,,281.9327,,33.443954,0.9938498,,,283.99097,,41.794647,0.1641176,,,8,30,08:30
16,2017-01-25 00:00:00,204.29198,121.30569,283.56094,10.79327,88.93129,4.09172,,31.243439,281.32104,15.622865,23.7131,1.0760034,,28.653749640633464,286.96542,15.6290045,36.500637,1.0981708,,23.003231223275066,287.15286,15.637164,38.94108,1.1136888,,22.807632620980144,289.2521,15.618132,47.157307,0.22963415,,20.727421935250163,9,0,09:00
17,2017-01-25 00:30:00,206.44696,201.89943,290.9794,21.448076,143.49036,4.202886,,95.918884,289.86136,26.040195,32.904377,1.2294225,,92.44484946376298,293.89645,26.04969,44.539413,1.251671,,88.40025946742509,293.36502,26.06231,43.99207,1.2619343,,88.91907355433915,295.51828,26.032875,51.956924,0.3075093,,86.79524848109696,9,30,09:30
18,2017-01-25 01:00:00,210.32939,278.62997,300.9184,31.874636,94.24851,-2.2336988,,156.16632,300.47653,35.954777,43.351204,1.4485656,,152.5280519679481,302.3328,35.967525,51.641846,1.4662597,,150.65904104265513,300.92242,35.984463,49.49475,1.468598,,152.05247365984263,303.02536,35.944954,58.711277,0.4279623,,149.9890466884071,10,0,10:00
19,2017-01-25 01:30:00,213.82188,349.5968,309.8479,41.998184,95.88718,-10.049942,,211.57263,311.6992,45.10588,61.84739,1.7061527,,206.61361991916237,310.80847,45.121983,65.043,1.7148726,,207.48823463473855,308.8311,45.143375,59.518276,1.7081208,,209.4442282870823,311.07242,45.093468,67.68276,0.58031714,,207.25280296359597,10,30,10:30
20,2017-01-25 02:00:00,216.56119,409.6138,317.54782,53.14892,105.07546,8.214031,,255.47824,323.39297,52.819965,80.06759,1.9767697,,249.9620412654175,319.35645,52.839375,77.84004,1.9805402,,253.97916162674562,316.75165,52.865166,70.96012,1.962389,,256.558167821814,318.99033,52.805004,79.6714,0.5450392,,254.37965143387453,11,0,11:00
21,2017-01-25 02:30:00,220.93825,453.97525,325.3197,62.47189,,,,287.12195,335.00772,58.497395,,,,281.4083844909668,327.66714,58.51971,,,,288.7266446838379,324.6423,58.549362,,,,291.72183435058594,326.92368,58.480194,,,,289.50963037109375,11,30,11:30
22,2017-01-25 03:00:00,226.23698,486.0295,332.8771,63.72886,138.25827,10.627865,,315.6605,346.0253,62.584972,110.32229,2.491757,,303.6562174350315,335.502,62.60967,97.53246,2.48885,,314.15480599704324,332.16028,62.642483,87.11598,2.4745636,,317.4637278110081,334.4937,62.565937,96.3545,0.8239936,,315.20683846774637,12,0,12:00
23,2017-01-25 03:30:00,228.29741,506.3331,337.3228,70.576126,151.05519,9.941264,,326.73157,355.12268,65.163994,125.80213,2.6033242,,314.3438292041923,341.62692,65.19154,107.60557,2.5031843,,327.81203751718056,338.17133,65.22919,95.892685,2.4985065,,331.2299910083915,340.5677,65.147606,105.55703,1.1729658,,328.91520981942665,12,30,12:30
24,2017-01-25 04:00:00,231.49484,512.6017,342.72733,69.44148,178.47574,11.768934,,331.92776,363.49524,65.94133,136.13268,0.98116606,,314.65995221470484,347.26462,65.96152,112.506744,2.7111633,,330.8703861746658,343.6292,66.00353,99.53193,2.4985921,,334.4637775931228,346.10733,65.94133,109.51514,1.0369759,,332.0478611502517,13,0,13:00
25,2017-01-25 04:30:00,232.2024,501.8742,344.21744,67.82131,94.13772,14.139267,,322.03787,368.56137,64.5698,141.86537,1.1616195,,300.9454242483953,351.05374,64.5698,115.70542,1.0640007,,318.45305364292653,347.3103,64.592094,101.51808,2.7772644,,322.17419927280935,349.6518,64.5698,111.266884,1.1250955,,319.8550006644109,13,30,13:30
26,2017-01-25 05:00:00,232.94417,507.858,346.09503,68.83134,165.88359,28.082842,,325.8758,373.86368,65.3759,148.09198,1.5738231,,301.56259212330065,354.96927,65.3759,119.779655,1.5478928,,320.45700130298815,351.59534,65.3759,106.15578,1.4375637,,323.83093318775377,353.63867,65.3759,114.73041,1.2813095,,321.78759822681627,14,0,14:00
27,2017-01-25 05:30:00,231.44148,478.6039,344.935,66.21142,134.05432,18.161528,,298.899,375.1724,61.653404,148.16687,1.4590409,,273.219601965332,355.68802,61.653404,118.2747,1.4265325,,292.703976965332,352.5365,61.653404,104.88859,1.4051896,,295.85549674072263,354.6703,61.653404,113.443306,1.3931843,,293.72170767822263,14,30,14:30
28,2017-01-25 06:00:00,231.75153,417.09903,343.48166,57.51652,112.10329,19.068222,,247.85239,372.67,53.7657,142.42218,1.3844275,,222.41484824128338,353.60016,53.7657,112.27216,1.3472612,,241.4847029776115,351.04257,53.7657,99.995735,1.3296034,,244.04228964753338,353.16388,53.7657,108.46701,1.5421884,,241.9209822744865,15,0,15:00
