,time,LWdown_obs,SWdown_obs,LWup_obs,SWup_obs,Qh_obs,Qle_obs,Qtau_obs,Rn_obs,LWup_def,SWup_def,Qh_def,Qle_def,Qtau_def,Rn_def,LWup_wrflcz,SWup_wrflcz,Qh_wrflcz,Qle_wrflcz,Qtau_wrflcz,Rn_wrflcz,LWup_lilcz,SWup_lilcz,Qh_lilcz,Qle_lilcz,Qtau_lilcz,Rn_lilcz,LWup_cesmlcz,SWup_cesmlcz,Qh_cesmlcz,Qle_cesmlcz,Qtau_cesmlcz,Rn_cesmlcz,hour,minute,diurnal
0,2019-01-01 00:00:00,343.71936,,357.72876,,22.1373,19.693,0.74511,,355.82245,,12.472713,18.832409,0.30602044,,355.74847,,10.229652,20.354069,0.30281168,,356.11795,,11.4147625,21.271122,0.3027141,,358.7191,,25.138971,18.307705,0.31397948,,1,0,01:00
1,2019-01-01 00:30:00,343.91788,,357.5913,,11.9313,,0.566369,,356.19376,,11.900981,,0.29594833,,356.12512,,9.592411,,0.29343894,,356.40756,,10.807215,,0.29439256,,359.01175,,24.225876,,0.30669782,,1,30,01:30
2,2019-01-01 01:00:00,344.32217,,357.65314,,16.4169,,0.597151,,355.75687,,8.169262,,0.25899845,,355.90714,,6.391088,,0.25646228,,356.1494,,7.668226,,0.2577903,,358.7348,,20.52868,,0.27067596,,2,0,02:00
3,2019-01-01 01:30:00,341.21017,,357.5588,,8.90074,,0.496932,,354.95517,,4.833885,,0.27178836,,355.11234,,3.3353245,,0.2695435,,355.37466,,4.7716923,,0.27113575,,357.95712,,17.710125,,0.28463227,,2,30,02:30
4,2019-01-01 02:00:00,338.30435,,357.204,,8.72527,,0.482539,,354.1735,,2.0067196,,0.31250927,,354.3812,,0.81769985,,0.3105191,,354.66006,,2.403071,,0.31240982,,357.23157,,15.669193,,0.32668623,,3,0,03:00
5,2019-01-01 02:30:00,338.18433,,357.05435,,18.0891,,0.610848,,353.8756,,1.2244585,,0.368627,,354.0969,,0.099074624,,0.36841702,,354.36844,,1.7854475,,0.36880532,,356.89862,,15.382786,,0.38345715,,3,30,03:30
6,2019-01-01 03:00:00,329.8444,,356.32278,,15.0646,13.2521,0.636717,,352.65088,,-2.4436173,14.475275,0.3409812,,352.86853,,-2.9546642,15.573446,0.34076616,,353.21924,,-1.0260179,16.300785,0.34108812,,355.73703,,12.17177,14.136701,0.3547216,,4,0,04:00
7,2019-01-01 03:30:00,318.47092,,355.07715,,20.7193,14.4622,0.79469,,350.9344,,-6.214612,13.187652,0.4212206,,351.16174,,-6.0253124,14.195223,0.42104572,,351.6156,,-3.6371803,14.884685,0.42151394,,354.04504,,9.91266,13.062252,0.43223956,,4,30,04:30
8,2019-01-01 04:00:00,305.54254,,353.54517,,10.5476,9.43195,0.649928,,348.84808,,-9.602288,11.611181,0.50837106,,349.1086,,-8.482274,12.517331,0.50838083,,349.6844,,-5.510014,13.153566,0.50904614,,352.01938,,8.317366,11.786148,0.5173618,,5,0,05:00
9,2019-01-01 04:30:00,343.18613,,355.6888,,15.3805,11.1023,0.916251,,353.20596,,0.23481199,11.514642,0.38670588,,353.6287,,-0.6156331,12.263762,0.38670588,,353.77945,,0.98701876,12.812101,0.38670588,,356.16953,,13.96032,11.42899,0.40903246,,5,30,05:30
