,time,LWdown_obs,SWdown_obs,LWup_obs,SWup_obs,Qh_obs,Qle_obs,Qtau_obs,Rn_obs,LWup_def,SWup_def,Qh_def,Qle_def,Qtau_def,Rn_def,LWup_wrflcz,SWup_wrflcz,Qh_wrflcz,Qle_wrflcz,Qtau_wrflcz,Rn_wrflcz,LWup_lilcz,SWup_lilcz,Qh_lilcz,Qle_lilcz,Qtau_lilcz,Rn_lilcz,LWup_cesmlcz,SWup_cesmlcz,Qh_cesmlcz,Qle_cesmlcz,Qtau_cesmlcz,Rn_cesmlcz,hour,minute,diurnal
0,2008-01-01 00:00:00,304.19,,311.44,,8.2,60.34,,,318.64102,,3.0267627,-0.17430358,,,318.50705,,1.3391063,-0.28239578,,,318.48938,,1.3639293,-0.2798775,,,319.5448,,6.5396442,-0.122234605,,,1,0,01:00
1,2008-01-01 01:00:00,305.83,,312.18,,13.4,-13.59,,,318.86505,,4.208582,0.00015741563,,,318.84933,,2.7101414,-0.09936213,,,318.81647,,2.7171888,-0.10121153,,,319.8946,,7.748657,0.056751605,,,2,0,02:00
2,2008-01-01 02:00:00,305.78,,312.26,,18.58,-40.24,,,318.45706,,5.112864,0.19854356,,,318.50296,,3.5680974,0.095812835,,,318.48392,,3.6531422,0.09619635,,,319.51782,,8.8942795,0.26003328,,,3,0,03:00
3,2008-01-01 03:00:00,306.84,,311.9,,,,,,318.53552,,,,,,318.59778,,,,,,318.57883,,,,,,319.6389,,,,,,4,0,04:00
4,2008-01-01 04:00:00,307.01,,311.98,,,,,,318.60696,,,,,,318.69763,,,,,,318.67502,,,,,,319.7475,,,,,,5,0,05:00
5,2008-01-01 05:00:00,307.72,,310.76,,,,,,318.38995,,,,,,318.48663,,,,,,318.4718,,,,,,319.48755,,,,,,6,0,06:00
6,2008-01-01 06:00:00,307.05,,309.95,,-27.04,41.21,,,318.01108,,8.744153,0.8830477,,,318.09625,,7.2932243,0.7800379,,,318.09717,,7.5203257,0.78265834,,,319.07532,,13.14343,0.9542812,,,7,0,07:00
7,2008-01-01 07:00:00,305.78,,308.91,,159.66,60.7,,,317.71863,,9.103585,1.0722438,,,317.8204,,7.8604116,0.97203285,,,317.83057,,8.129544,0.9755167,,,318.82672,,13.603131,1.1413954,,,8,0,08:00
8,2008-01-01 08:00:00,305.46,4.08,308.15,,,,,,318.1414,,,,,,318.2422,,,,,,318.23508,,,,,,319.2688,,,,,,9,0,09:00
9,2008-01-01 09:00:00,305.65,12.96,308.54,0.17,9.91,60.91,,9.899963,318.8205,1.2036322,12.701254,1.4698038,,-1.4141278409958318,318.81332,1.2036322,11.385744,1.3774886,,-1.4069562101364568,318.7751,1.2036322,11.53876,1.3814489,,-1.3687176847458318,319.78616,1.2036322,16.740244,1.5421277,,-2.3797955656052068,10,0,10:00
10,2008-01-01 10:00:00,307.13,28.22,310.78,5.18,1.82,43.21,,19.390015,320.7128,2.622472,17.087004,1.6695627,,12.014728879928612,320.42706,2.622472,15.14604,1.5724567,,12.300464963912987,320.33313,2.622472,15.133462,1.5755131,,12.394398069381737,321.33228,2.622472,20.486626,1.7467736,,11.395252561569237,11,0,11:00
11,2008-01-01 11:00:00,309.03,49.85,312.21,14.6,,,,32.070007,323.35092,4.640874,,,,30.88820446014404,322.6466,4.640874,,,,31.592519645690913,322.46863,4.640874,,,,31.770498161315913,323.4795,4.640874,,,,30.759633903503413,12,0,12:00
12,2008-01-01 12:00:00,310.99,70.56,314.16,21.61,-46.7,36.99,,45.78,325.97833,6.584556,30.516998,2.1749122,,48.987111377716076,324.77972,6.584556,27.006996,2.0739138,,50.185719776153576,324.53302,6.584556,26.418854,2.0700378,,50.432423877716076,325.54648,6.584556,31.716877,2.2369156,,49.41896562576295,13,0,13:00
13,2008-01-01 13:00:00,299.79,92.5,314.7,24.39,,,,53.200012,326.9566,8.663609,,,,56.66978744506838,325.23,8.663609,,,,58.396380462646505,324.9592,8.663609,,,,58.667193450927755,325.96616,8.663609,,,,57.660235443115255,14,0,14:00
14,2008-01-01 14:00:00,293.47,42.83,312.99,9.37,9.79,-70.34,,13.940002,320.95215,3.993163,22.32534,1.1325755,,11.354688453674328,319.7589,3.993163,19.983011,1.040695,,12.547925758361828,319.73022,3.993163,19.726137,1.0305911,,12.576612281799328,320.72354,3.993163,25.076912,1.1794891,,11.583295631408703,15,0,15:00
15,2008-01-01 15:00:00,303.53,6.94,311.91,,8.66,36.64,,,318.9009,,19.41414,1.4506907,,,318.59607,,17.764778,1.3510702,,,318.67383,,17.845339,1.3466504,,,319.65744,,23.225994,1.4943734,,,16,0,16:00
16,2008-01-01 16:00:00,302.03,4.39,310.73,,,,,,317.51,,,,,,317.74188,,,,,,317.8356,,,,,,318.76346,,,,,,17,0,17:00
17,2008-01-01 17:00:00,302.3,,309.15,,,,,,316.3423,,,,,,316.13773,,,,,,316.27585,,,,,,317.31937,,,,,,18,0,18:00
18,2008-01-01 18:00:00,300.09,,309.47,,-0.93,99.17,,,316.68103,,19.386602,2.4543545,,,316.3259,,16.290586,2.2957773,,,316.43546,,16.893728,2.304756,,,317.4282,,22.147612,2.512229,,,19,0,19:00
19,2008-01-01 19:00:00,303.35,,309.26,,15.98,-23.64,,,316.699,,18.400913,2.4607852,,,316.45157,,15.415795,2.2282968,,,316.5326,,16.086622,2.241741,,,317.49222,,21.790243,2.5206325,,,20,0,20:00
20,2008-01-01 20:00:00,300.99,,307.01,,22.07,-62.69,,,316.01868,,23.373676,3.9285858,,,315.74176,,20.479914,4.133138,,,315.81055,,21.181643,4.1346602,,,316.2758,,25.396252,3.2934234,,,21,0,21:00
21,2008-01-01 21:00:00,295.07,,304.84,,21.0,72.21,,,315.4996,,32.37118,5.934022,,,314.55286,,27.842539,5.848521,,,314.6746,,28.819254,5.8467937,,,315.3832,,33.424637,5.8390703,,,22,0,22:00
22,2008-01-01 22:00:00,293.57,,304.01,,8.41,49.6,,,314.61447,,31.82427,5.982838,,,314.175,,29.238132,5.8065343,,,314.29715,,30.325287,5.8389397,,,315.00455,,35.077976,6.4665327,,,23,0,23:00
23,2008-01-01 23:00:00,291.15,,303.62,,10.9,46.99,,,312.33365,,24.962566,3.7092383,,,313.07858,,26.605669,3.459248,,,313.19287,,27.694513,3.4817996,,,313.61203,,31.697006,4.0888233,,,0,0,00:00
24,2008-01-02 00:00:00,294.76,,304.13,,16.64,-81.04,,,312.6439,,25.883337,4.008714,,,313.75192,,28.065517,3.9081564,,,313.86618,,29.187145,3.932049,,,314.3112,,33.183414,4.1512666,,,1,0,01:00
25,2008-01-02 01:00:00,295.48,,304.35,,2.79,49.23,,,312.28003,,26.456156,4.014394,,,313.44986,,29.053743,3.8281918,,,313.55212,,30.200933,3.8421104,,,313.94183,,34.11132,3.9201167,,,2,0,02:00
26,2008-01-02 02:00:00,294.29,,303.61,,6.83,40.62,,,311.8355,,27.846813,4.333967,,,313.1665,,31.284746,4.193328,,,313.278,,32.468998,4.2191706,,,313.71893,,36.462986,4.367339,,,3,0,03:00
27,2008-01-02 03:00:00,292.92,,302.12,,26.27,97.47,,,310.25305,,30.56768,5.152963,,,311.58472,,34.202106,5.0581512,,,311.97467,,36.478218,5.0973096,,,313.1035,,43.58302,5.421697,,,4,0,04:00
