,time,LWdown_obs,SWdown_obs,LWup_obs,SWup_obs,Qh_obs,Qle_obs,Qtau_obs,Rn_obs,LWup_def,SWup_def,Qh_def,Qle_def,Qtau_def,Rn_def,LWup_wrflcz,SWup_wrflcz,Qh_wrflcz,Qle_wrflcz,Qtau_wrflcz,Rn_wrflcz,LWup_lilcz,SWup_lilcz,Qh_lilcz,Qle_lilcz,Qtau_lilcz,Rn_lilcz,LWup_cesmlcz,SWup_cesmlcz,Qh_cesmlcz,Qle_cesmlcz,Qtau_cesmlcz,Rn_cesmlcz,hour,minute,diurnal
0,2012-04-04 00:00:00,344.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,00:00
1,2012-04-04 00:30:00,338.41,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,00:30
2,2012-04-04 01:00:00,337.51,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,01:00
3,2012-04-04 01:30:00,328.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,01:30
4,2012-04-04 02:00:00,335.46,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,02:00
5,2012-04-04 02:30:00,339.29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30,02:30
6,2012-04-04 03:00:00,339.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,03:00
7,2012-04-04 03:30:00,330.83,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30,03:30
8,2012-04-04 04:00:00,305.55,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,04:00
9,2012-04-04 04:30:00,257.69,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,04:30
10,2012-04-04 05:00:00,255.44,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,05:00
11,2012-04-04 05:30:00,255.69,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,05:30
12,2012-04-04 06:00:00,259.13,11.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,06:00
13,2012-04-04 06:30:00,278.71,63.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,30,06:30
