Site,Variable,Model,mean_sdev,mean_coef
AU-Preston,Rn,CNTL,0.921904399471031,0.9986894192729914
AU-Preston,Rn,WRF_LCZ,0.9687264864029723,0.9988564797367593
AU-Preston,Rn,LI_LCZ,0.9629507813217327,0.9988698399309098
AU-Preston,Rn,CESM_LCZ,0.9631501984219757,0.9988898498942063
AU-Preston,SWup,CNTL,1.0121840971890448,0.9967016400213417
AU-Preston,SWup,WRF_LCZ,1.0121840971890448,0.9967016400213417
AU-Preston,SWup,LI_LCZ,1.0121840971890448,0.9967016400213417
AU-Preston,SWup,CESM_LCZ,1.0121840971890448,0.9967016400213417
AU-Preston,LWup,CNTL,1.3322363831855657,0.9726339130455007
AU-Preston,LWup,WRF_LCZ,1.1501696750038393,0.987789624789108
AU-Preston,LWup,LI_LCZ,1.1709000720957015,0.9872754531282687
AU-Preston,LWup,CESM_LCZ,1.1660785314624929,0.9870354665998
AU-Preston,Qh,CNTL,1.083277111019102,0.939803780179121
AU-Preston,Qh,WRF_LCZ,0.9197483219308061,0.9118906695072673
AU-Preston,Qh,LI_LCZ,0.9394098131337127,0.9171582426926648
AU-Preston,Qh,CESM_LCZ,0.9364434454866003,0.9187513403887162
AU-Preston,Qle,CNTL,0.7810960165832279,0.6169531036830073
AU-Preston,Qle,WRF_LCZ,0.7590504415008648,0.6131647421040131
AU-Preston,Qle,LI_LCZ,0.7624055652801611,0.6138319132490989
AU-Preston,Qle,CESM_LCZ,0.759135428818954,0.6130515796000756
AU-Preston,Qtau,CNTL,0.4207845157684171,0.8607375067426566
AU-Preston,Qtau,WRF_LCZ,0.40959253094193526,0.8531373858331048
AU-Preston,Qtau,LI_LCZ,0.4106306042793199,0.8540943320323117
AU-Preston,Qtau,CESM_LCZ,0.4108395300647896,0.8551592620263266
AU-SurreyHills,Rn,CNTL,0.9520255161812076,0.9986754257640824
AU-SurreyHills,Rn,WRF_LCZ,0.9922941013428674,0.9988878162659365
AU-SurreyHills,Rn,LI_LCZ,0.9874238104486511,0.9988923975100482
AU-SurreyHills,Rn,CESM_LCZ,0.9880926480311963,0.9989409584022247
AU-SurreyHills,SWup,CNTL,0.9880780772294673,0.9956804958800449
AU-SurreyHills,SWup,WRF_LCZ,0.9880780772294673,0.9956804958800449
AU-SurreyHills,SWup,LI_LCZ,0.9880780772294673,0.9956804958800449
AU-SurreyHills,SWup,CESM_LCZ,0.9880780772294673,0.9956804958800449
AU-SurreyHills,LWup,CNTL,1.1919256214548255,0.9790755292472055
AU-SurreyHills,LWup,WRF_LCZ,1.0790305753383522,0.99011890287043
AU-SurreyHills,LWup,LI_LCZ,1.092166266884462,0.9898450364304328
AU-SurreyHills,LWup,CESM_LCZ,1.0825619015287857,0.9898033129270873
AU-SurreyHills,Qh,CNTL,0.8189123758272995,0.9309666110874003
AU-SurreyHills,Qh,WRF_LCZ,0.7076888888868044,0.9047106515901723
AU-SurreyHills,Qh,LI_LCZ,0.720105871587222,0.9090782676281659
AU-SurreyHills,Qh,CESM_LCZ,0.7152803004036299,0.9114923068253153
AU-SurreyHills,Qle,CNTL,0.5323563644070344,0.511392138788103
AU-SurreyHills,Qle,WRF_LCZ,0.5050758387989512,0.5046418949528553
AU-SurreyHills,Qle,LI_LCZ,0.5074318156889368,0.5059046950799766
AU-SurreyHills,Qle,CESM_LCZ,0.5080952964062541,0.5035519862773332
AU-SurreyHills,Qtau,CNTL,0.389092992036191,0.8457736528640746
AU-SurreyHills,Qtau,WRF_LCZ,0.381294682836287,0.8369336338745065
AU-SurreyHills,Qtau,LI_LCZ,0.3818935797403046,0.8380427590055606
AU-SurreyHills,Qtau,CESM_LCZ,0.38287445865109376,0.8374724972936366
CA-Sunset,Rn,CNTL,0.9146860787220953,0.997915943782502
CA-Sunset,Rn,WRF_LCZ,0.9305893475634609,0.9979906764669254
CA-Sunset,Rn,LI_LCZ,0.9305746434666712,0.9979980000824556
CA-Sunset,Rn,CESM_LCZ,0.9306359376770135,0.9980153877766298
CA-Sunset,SWup,CNTL,0.9687902419721334,0.9780657957544969
CA-Sunset,SWup,WRF_LCZ,0.9687726057218202,0.9780633146549079
CA-Sunset,SWup,LI_LCZ,0.9687768552966523,0.9780627116365586
CA-Sunset,SWup,CESM_LCZ,0.9687822998425534,0.9780482696097028
CA-Sunset,LWup,CNTL,1.2898293058027268,0.9574147486191213
CA-Sunset,LWup,WRF_LCZ,1.237125540158415,0.9643525208854148
CA-Sunset,LWup,LI_LCZ,1.2339920077773407,0.9641366364940784
CA-Sunset,LWup,CESM_LCZ,1.2299689892109662,0.9637204454012916
CA-Sunset,Qh,CNTL,0.7461799154252371,0.9462036597069026
CA-Sunset,Qh,WRF_LCZ,0.6976851204645104,0.944022357212381
CA-Sunset,Qh,LI_LCZ,0.7079835580738274,0.9447759649787764
CA-Sunset,Qh,CESM_LCZ,0.7074297441394642,0.9451023539223934
CA-Sunset,Qle,CNTL,1.0037273718312676,0.6978927474536603
CA-Sunset,Qle,WRF_LCZ,0.9906310420639065,0.697747096133003
CA-Sunset,Qle,LI_LCZ,0.99254044295092,0.6975529477074333
CA-Sunset,Qle,CESM_LCZ,0.9902165005861717,0.6980023206418009
CA-Sunset,Qtau,CNTL,0.599852288599937,0.3229324406964495
CA-Sunset,Qtau,WRF_LCZ,0.5915888646050511,0.31880251354250394
CA-Sunset,Qtau,LI_LCZ,0.5922502383999732,0.31925781935007597
CA-Sunset,Qtau,CESM_LCZ,0.5927364051410166,0.31895337032909654
FI-Kumpula,Rn,CNTL,0.9615740090239469,0.9956606303145088
FI-Kumpula,Rn,WRF_LCZ,0.9804188963545046,0.9960545000384481
FI-Kumpula,Rn,LI_LCZ,0.9830523743004786,0.9960894410475117
FI-Kumpula,Rn,CESM_LCZ,0.9840086549651392,0.9951774773253348
FI-Kumpula,SWup,CNTL,0.9135260873267961,0.9397639865577547
FI-Kumpula,SWup,WRF_LCZ,0.9083905509320964,0.9502195114227635
FI-Kumpula,SWup,LI_LCZ,0.9104624855871385,0.950620414680533
FI-Kumpula,SWup,CESM_LCZ,0.877443781286171,0.9332544852798689
FI-Kumpula,LWup,CNTL,1.051007289642533,0.9903142542646345
FI-Kumpula,LWup,WRF_LCZ,1.0252260605983805,0.9935317266983047
FI-Kumpula,LWup,LI_LCZ,1.0200551588195073,0.9936763820919613
FI-Kumpula,LWup,CESM_LCZ,1.016071953862792,0.9931958625166466
FI-Kumpula,Qh,CNTL,0.7882634078926889,0.7867867668972737
FI-Kumpula,Qh,WRF_LCZ,0.6861308957730664,0.7366435356992014
FI-Kumpula,Qh,LI_LCZ,0.6806314578633307,0.7295785708398097
FI-Kumpula,Qh,CESM_LCZ,0.6842927412195896,0.7483166730082024
FI-Kumpula,Qle,CNTL,0.8103574485452204,0.6830695233943063
FI-Kumpula,Qle,WRF_LCZ,0.8005817886821678,0.6814703273162417
FI-Kumpula,Qle,LI_LCZ,0.7991802410013173,0.6815323330877276
FI-Kumpula,Qle,CESM_LCZ,0.7929844731509019,0.678096483726165
FI-Kumpula,Qtau,CNTL,,
FI-Kumpula,Qtau,WRF_LCZ,,
FI-Kumpula,Qtau,LI_LCZ,,
FI-Kumpula,Qtau,CESM_LCZ,,
FI-Torni,Rn,CNTL,0.9334373731441855,0.998630141525231
FI-Torni,Rn,WRF_LCZ,0.9833513423447054,0.9985337380483059
FI-Torni,Rn,LI_LCZ,0.9857444924077297,0.9985448706865677
FI-Torni,Rn,CESM_LCZ,0.98901329934553,0.9987328737411365
FI-Torni,SWup,CNTL,1.0984437596827468,0.933323689212703
FI-Torni,SWup,WRF_LCZ,0.9904019950207267,0.963054399536849
FI-Torni,SWup,LI_LCZ,1.002417706463358,0.9640997034271119
FI-Torni,SWup,CESM_LCZ,0.9357116860137417,0.982555456236796
FI-Torni,LWup,CNTL,1.1223363730353106,0.9847129041362261
FI-Torni,LWup,WRF_LCZ,1.0648373476760005,0.9924189237074964
FI-Torni,LWup,LI_LCZ,1.0649134880096915,0.9923121858473758
FI-Torni,LWup,CESM_LCZ,1.0436615310561643,0.992508721325602
FI-Torni,Qh,CNTL,1.0360884755405002,0.791563292509251
FI-Torni,Qh,WRF_LCZ,0.8416194404686383,0.7030506706197077
FI-Torni,Qh,LI_LCZ,0.8308136804079381,0.6918161798142939
FI-Torni,Qh,CESM_LCZ,0.8135914498852785,0.7058590051388368
FI-Torni,Qle,CNTL,0.6378977954553403,0.46220242534158446
FI-Torni,Qle,WRF_LCZ,0.6115454214722605,0.4515681186898503
FI-Torni,Qle,LI_LCZ,0.6114701872054311,0.45275819414612933
FI-Torni,Qle,CESM_LCZ,0.6030955469193975,0.4372383326511669
FI-Torni,Qtau,CNTL,,
FI-Torni,Qtau,WRF_LCZ,,
FI-Torni,Qtau,LI_LCZ,,
FI-Torni,Qtau,CESM_LCZ,,
FR-Capitole,Rn,CNTL,0.9094508361751661,0.9988392236574292
FR-Capitole,Rn,WRF_LCZ,0.9749459995487562,0.9990890988519032
FR-Capitole,Rn,LI_LCZ,0.9834867572527787,0.9989983184223314
FR-Capitole,Rn,CESM_LCZ,0.9849537403350652,0.9991556038726559
FR-Capitole,SWup,CNTL,1.0495236537101744,0.9909230539862051
FR-Capitole,SWup,WRF_LCZ,1.0495271545888099,0.9909228800644665
FR-Capitole,SWup,LI_LCZ,1.0495271305248746,0.9909228780421314
FR-Capitole,SWup,CESM_LCZ,1.0495271549807887,0.9909228800938609
FR-Capitole,LWup,CNTL,1.2754049492452424,0.9856404238656309
FR-Capitole,LWup,WRF_LCZ,1.119984110116509,0.9955798291782926
FR-Capitole,LWup,LI_LCZ,1.1066196438760303,0.994411536039592
FR-Capitole,LWup,CESM_LCZ,1.0891588579210625,0.9950900997949321
FR-Capitole,Qh,CNTL,0.9729857043125264,0.9124455193205671
FR-Capitole,Qh,WRF_LCZ,0.7606180192662383,0.8627499799446727
FR-Capitole,Qh,LI_LCZ,0.7064231879927729,0.8378604791106848
FR-Capitole,Qh,CESM_LCZ,0.6874089070313076,0.8537327745229576
FR-Capitole,Qle,CNTL,1.0226007310332914,0.5141822494355853
FR-Capitole,Qle,WRF_LCZ,0.8982876115275509,0.5329626851699928
FR-Capitole,Qle,LI_LCZ,0.8825680861824261,0.5331956762332233
FR-Capitole,Qle,CESM_LCZ,0.8837421482152833,0.527000589294808
FR-Capitole,Qtau,CNTL,0.5023355434377675,0.8883399964160528
FR-Capitole,Qtau,WRF_LCZ,0.49378324439190785,0.8900350490727549
FR-Capitole,Qtau,LI_LCZ,0.4911100448007886,0.889411029550419
FR-Capitole,Qtau,CESM_LCZ,0.48969901696773144,0.8953458590470923
GR-HECKOR,Rn,CNTL,0.8588723069185351,0.9964593181390633
